Regulator gene,Target gene
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
5,1
5,3
5,4
5,6
5,7
5,11
5,12
5,13
5,14
5,15
5,17
5,19
5,21
5,22
5,35
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
7,6
7,29
7,36
7,37
21,22
23,24
23,25
23,26
23,27
26,25
26,27
28,29
29,6
29,7
29,21
29,33
29,40
29,44
29,46
29,54
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,76
30,31
32,33
34,35
34,36
34,37
34,38
36,3
36,6
36,7
36,37
36,46
36,62
36,63
38,36
38,37
45,49
45,61
46,6
46,7
46,36
46,37
50,12
50,13
50,14
50,15
50,21
50,40
50,41
50,42
50,51
50,52
50,53
50,54
50,55
53,51
53,52
56,3
56,11
58,59
62,16
62,31
62,60
62,69
62,70
62,71
62,74
62,76
62,85
62,86
63,26
63,27
63,92
63,93
63,97
64,65
64,66
66,64
66,65
72,39
72,67
77,78
78,77
79,8
79,9
79,12
79,13
79,14
79,15
79,19
79,40
79,42
79,43
79,45
79,47
79,48
79,54
79,55
79,57
79,58
79,59
79,60
79,61
79,69
79,75
79,77
79,78
79,80
79,81
79,82
79,83
79,84
79,85
79,86
79,87
79,88
79,89
79,90
79,91
79,92
79,93
80,8
80,9
80,12
80,13
80,14
80,15
80,19
80,40
80,42
80,43
80,45
80,47
80,48
80,54
80,55
80,57
80,58
80,59
80,60
80,61
80,69
80,75
80,77
80,78
80,79
80,81
80,82
80,83
80,84
80,85
80,86
80,87
80,88
80,89
80,90
80,91
80,92
80,93
87,26
87,27
87,68
90,91
94,18
94,95
95,26
95,27
96,26
96,27
96,63
96,92
96,93
96,97
98,7
98,18
98,46
99,58
99,59
100,6
100,7
