Regulator gene,Target gene
1,2
1,3
1,4
5,2
5,3
5,4
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
10,37
10,44
10,50
15,14
23,24
25,7
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
36,37
37,1
37,8
37,10
37,23
37,24
37,25
37,29
37,47
37,48
37,51
37,59
37,60
37,61
37,62
37,64
37,67
37,68
37,69
37,70
37,71
37,72
37,73
37,74
37,75
38,9
38,39
40,41
42,1
43,44
43,45
44,10
44,31
44,50
44,62
44,63
44,64
45,44
46,4
46,9
46,10
46,16
46,17
46,18
46,22
46,24
46,37
46,47
46,48
46,49
46,50
46,51
46,52
46,53
46,54
46,55
46,56
46,57
46,58
46,59
46,60
46,61
54,55
54,81
54,82
55,54
57,56
62,10
62,44
62,50
63,19
63,20
63,41
63,51
63,59
63,60
63,61
63,75
63,78
63,79
63,80
64,28
64,94
64,95
65,66
66,65
67,68
67,69
69,67
69,68
72,23
72,24
72,76
72,77
73,89
75,24
82,54
82,55
83,19
83,20
83,49
83,84
83,85
85,4
85,9
85,11
85,12
85,13
85,16
85,17
85,18
85,25
85,38
85,39
85,58
85,84
85,86
85,87
85,88
87,86
90,28
90,70
91,21
91,92
92,28
93,28
93,64
93,94
93,95
96,10
96,21
96,62
96,97
98,99
99,54
99,55
100,10
100,88
