Regulator gene,Target gene
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
3,1
3,4
3,5
3,7
3,8
3,9
3,15
3,28
3,29
3,83
3,84
3,85
10,3
10,11
10,12
13,6
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
18,28
18,45
18,73
18,75
22,11
22,12
22,23
24,9
24,25
26,27
28,29
28,30
28,31
28,32
28,33
28,34
31,15
31,58
31,64
31,69
31,71
31,72
33,10
33,11
33,23
33,39
35,9
35,20
35,36
35,37
36,34
38,6
38,15
38,24
38,39
38,40
38,41
38,42
38,43
38,44
38,45
38,46
38,47
38,48
40,26
40,27
40,31
40,51
40,52
40,53
40,54
40,55
40,56
40,57
40,58
40,59
40,60
40,61
41,25
42,41
45,6
45,10
45,11
45,23
45,56
45,89
45,90
45,91
46,4
46,6
46,15
46,20
46,21
46,30
46,38
46,41
46,45
46,62
46,63
46,74
46,84
49,10
49,11
49,50
52,13
52,14
52,15
52,31
52,36
52,40
52,53
52,62
52,63
52,64
52,65
52,66
52,67
52,68
52,69
52,70
56,36
56,47
56,58
56,62
56,67
56,68
56,76
56,78
56,87
56,88
58,79
59,37
59,67
64,6
64,10
64,11
64,15
64,23
64,39
64,65
64,66
65,23
65,31
65,39
65,64
65,66
65,70
65,80
71,54
71,81
71,89
72,80
72,85
73,28
73,45
73,74
73,75
76,47
76,52
76,58
76,77
76,78
76,79
76,80
76,81
78,82
82,46
82,60
82,95
85,38
85,42
85,93
86,15
86,71
86,80
92,47
92,85
92,87
92,88
92,93
94,15
94,85
95,62
95,68
95,81
96,15
96,36
96,58
96,93
97,2
97,22
97,58
97,98
99,38
99,42
100,36
100,37
100,67
100,68
